Dystans do przejœcia: 20, d³ugoœæ kroku: 1
150: (x,y) = (-5.43262, -12.4965)
151: (x,y) = (-6.39388, -12.2209)
152: (x,y) = (-6.22023, -13.2057)
153: (x,y) = (-6.15048, -14.2032)
154: (x,y) = (-7.12077, -13.9613)
155: (x,y) = (-7.69435, -14.7805)
156: (x,y) = (-6.963, -15.4625)
157: (x,y) = (-6.73804, -14.4881)
158: (x,y) = (-7.72285, -14.6618)
159: (x,y) = (-6.72833, -14.7663)
160: (x,y) = (-6.08554, -14.0002)
161: (x,y) = (-6.01579, -13.0027)
162: (x,y) = (-5.92863, -12.0065)
163: (x,y) = (-5.60306, -12.952)
164: (x,y) = (-4.9084, -13.6713)
165: (x,y) = (-5.67445, -13.0286)
166: (x,y) = (-4.67688, -13.0983)
167: (x,y) = (-4.45193, -12.1239)
168: (x,y) = (-4.62558, -11.1391)
169: (x,y) = (-3.63531, -11)
170: (x,y) = (-3.39339, -10.0297)
171: (x,y) = (-4.17054, -9.40034)
172: (x,y) = (-4.56127, -8.47983)
173: (x,y) = (-4.76918, -7.50169)
174: (x,y) = (-3.81288, -7.79406)
175: (x,y) = (-3.93474, -8.78661)
176: (x,y) = (-4.05661, -7.79406)
177: (x,y) = (-4.9838, -8.16867)
178: (x,y) = (-5.22572, -9.13896)
179: (x,y) = (-5.26062, -8.13957)
180: (x,y) = (-4.74558, -7.2824)
181: (x,y) = (-4.35485, -8.20291)
182: (x,y) = (-5.03685, -7.47155)
183: (x,y) = (-4.2597, -8.10087)
184: (x,y) = (-3.54036, -7.40622)
185: (x,y) = (-4.51851, -7.61413)
186: (x,y) = (-3.90285, -8.40214)
187: (x,y) = (-3.35821, -9.24081)
188: (x,y) = (-2.88874, -10.1238)
189: (x,y) = (-2.71509, -9.13895)
190: (x,y) = (-1.83214, -9.60842)
191: (x,y) = (-1.5565, -10.5697)
192: (x,y) = (-0.556657, -10.5522)
193: (x,y) = (0.317963, -11.037)
194: (x,y) = (1.02507, -10.3299)
195: (x,y) = (0.817158, -9.35179)
196: (x,y) = (1.60517, -8.73612)
197: (x,y) = (1.26315, -9.67582)
198: (x,y) = (0.486002, -10.3051)
199: (x,y) = (-0.412792, -10.7435)
200: (x,y) = (-1.31159, -10.3051)
201: (x,y) = (-2.2571, -10.6307)
202: (x,y) = (-1.41843, -11.1753)
203: (x,y) = (-0.652389, -11.8181)
204: (x,y) = (-1.58597, -12.1765)
205: (x,y) = (-1.81092, -13.1509)
206: (x,y) = (-1.11626, -12.4315)
207: (x,y) = (-0.118698, -12.3618)
208: (x,y) = (-0.541317, -11.4555)
209: (x,y) = (0.34969, -11.9095)
210: (x,y) = (1.09283, -12.5786)
211: (x,y) = (2.08903, -12.4914)
212: (x,y) = (2.2109, -11.4989)
213: (x,y) = (1.27732, -11.1405)
214: (x,y) = (1.19016, -10.1443)
215: (x,y) = (0.256582, -10.5027)
216: (x,y) = (1.08562, -11.0619)
217: (x,y) = (0.0862288, -11.027)
218: (x,y) = (-0.121683, -10.0488)
219: (x,y) = (0.597657, -9.35418)
220: (x,y) = (1.12758, -10.2022)
221: (x,y) = (1.62758, -11.0683)
222: (x,y) = (2.58884, -10.7926)
223: (x,y) = (2.60629, -11.7925)
224: (x,y) = (1.60873, -11.8622)
225: (x,y) = (1.41792, -10.8806)
226: (x,y) = (2.41548, -10.8108)
227: (x,y) = (1.66077, -11.4669)
228: (x,y) = (2.60629, -11.1413)
229: (x,y) = (2.8142, -12.1195)
230: (x,y) = (3.38778, -12.9386)
231: (x,y) = (4.30828, -12.5479)
232: (x,y) = (4.30828, -11.5479)
233: (x,y) = (4.9376, -12.325)
234: (x,y) = (4.88527, -13.3237)
235: (x,y) = (3.94558, -13.6657)
236: (x,y) = (3.09753, -14.1956)
237: (x,y) = (4.05383, -14.488)
238: (x,y) = (3.55383, -13.622)
239: (x,y) = (4.26094, -14.3291)
240: (x,y) = (3.33375, -14.7037)
241: (x,y) = (3.1088, -15.678)
242: (x,y) = (2.49314, -16.466)
243: (x,y) = (2.86775, -15.5389)
244: (x,y) = (2.90265, -14.5395)
245: (x,y) = (2.38761, -15.3966)
246: (x,y) = (2.35271, -14.3973)
247: (x,y) = (2.45724, -13.4027)
248: (x,y) = (1.51172, -13.7283)
249: (x,y) = (2.48202, -13.4864)
250: (x,y) = (2.14, -12.5467)
251: (x,y) = (1.16563, -12.7716)
252: (x,y) = (0.696155, -13.6546)
253: (x,y) = (-0.281993, -13.8625)
254: (x,y) = (-0.14282, -12.8722)
255: (x,y) = (-1.09912, -13.1646)
256: (x,y) = (-2.03882, -12.8226)
257: (x,y) = (-1.78, -13.7885)
258: (x,y) = (-1.79745, -12.7887)
259: (x,y) = (-2.62649, -13.3478)
260: (x,y) = (-2.21975, -12.4343)
261: (x,y) = (-1.41073, -11.8465)
262: (x,y) = (-0.972364, -10.9477)
263: (x,y) = (0.0124442, -11.1214)
264: (x,y) = (-0.816593, -11.6806)
265: (x,y) = (-0.834046, -10.6807)
266: (x,y) = (-1.80842, -10.9057)
267: (x,y) = (-2.24679, -11.8045)
268: (x,y) = (-2.53916, -10.8482)
269: (x,y) = (-1.8078, -10.1662)
270: (x,y) = (-0.988653, -10.7397)
271: (x,y) = (-0.0976464, -10.2857)
272: (x,y) = (-0.852356, -10.9418)
273: (x,y) = (-0.307717, -11.7805)
274: (x,y) = (0.490919, -11.1787)
275: (x,y) = (-0.138402, -10.4015)
276: (x,y) = (-0.0165325, -9.40897)
277: (x,y) = (0.849493, -8.90897)
278: (x,y) = (0.247678, -8.11033)
279: (x,y) = (0.45559, -9.08848)
280: (x,y) = (0.368434, -8.09228)
281: (x,y) = (-0.430202, -7.49047)
282: (x,y) = (0.568428, -7.43813)
283: (x,y) = (-0.0743597, -8.20418)
284: (x,y) = (-0.543831, -7.32123)
285: (x,y) = (0.163275, -6.61412)
286: (x,y) = (0.632747, -7.49707)
287: (x,y) = (1.39879, -8.13986)
288: (x,y) = (1.27692, -7.14731)
289: (x,y) = (1.50187, -8.12168)
290: (x,y) = (0.794766, -8.82879)
291: (x,y) = (-0.138814, -9.18716)
292: (x,y) = (0.376224, -8.32999)
293: (x,y) = (-0.442928, -7.75641)
294: (x,y) = (0.518334, -7.48078)
295: (x,y) = (0.361899, -8.46846)
296: (x,y) = (1.30742, -8.79403)
297: (x,y) = (2.15547, -9.32395)
298: (x,y) = (1.26446, -9.77794)
299: (x,y) = (1.9838, -9.08328)
300: (x,y) = (1.9838, -10.0833)
301: (x,y) = (1.79299, -11.0649)
302: (x,y) = (2.30803, -10.2077)
303: (x,y) = (1.65197, -9.45303)
304: (x,y) = (2.05871, -10.3666)
305: (x,y) = (3.029, -10.1247)
306: (x,y) = (3.029, -11.1247)
307: (x,y) = (2.59063, -12.0235)
308: (x,y) = (1.60036, -11.8843)
309: (x,y) = (0.823216, -12.5136)
310: (x,y) = (-0.0972884, -12.1229)
311: (x,y) = (0.41775, -11.2657)
312: (x,y) = (1.24679, -11.8249)
313: (x,y) = (0.564789, -12.5562)
314: (x,y) = (1.39383, -13.1154)
315: (x,y) = (0.711828, -13.8468)
316: (x,y) = (1.68212, -14.0887)
317: (x,y) = (1.75188, -15.0863)
318: (x,y) = (2.50659, -14.4302)
319: (x,y) = (2.02178, -15.3048)
320: (x,y) = (2.41251, -14.3843)
321: (x,y) = (1.6245, -13.7687)
322: (x,y) = (0.929842, -13.0493)
323: (x,y) = (-0.0646796, -12.9448)
324: (x,y) = (0.46524, -13.7929)
325: (x,y) = (0.790808, -14.7384)
326: (x,y) = (1.54552, -15.3944)
327: (x,y) = (1.90389, -16.328)
328: (x,y) = (1.07485, -16.8872)
329: (x,y) = (1.33367, -17.8531)
330: (x,y) = (0.718005, -18.6411)
331: (x,y) = (-0.00133448, -17.9465)
332: (x,y) = (-0.036234, -16.9471)
333: (x,y) = (-0.92724, -17.4011)
334: (x,y) = (-1.69328, -16.7583)
335: (x,y) = (-2.1159, -17.6646)
336: (x,y) = (-1.99403, -16.6721)
337: (x,y) = (-1.23932, -17.3281)
338: (x,y) = (-2.02734, -17.9438)
339: (x,y) = (-1.20818, -18.5174)
340: (x,y) = (-2.16449, -18.225)
341: (x,y) = (-3.11001, -18.5505)
342: (x,y) = (-4.0497, -18.2085)
343: (x,y) = (-4.98939, -17.8665)
344: (x,y) = (-4.27005, -17.1719)
345: (x,y) = (-4.73952, -18.0548)
346: (x,y) = (-3.75472, -18.2284)
347: (x,y) = (-3.85924, -17.2339)
348: (x,y) = (-2.93206, -16.8593)
349: (x,y) = (-2.08401, -17.3892)
350: (x,y) = (-2.87202, -16.7736)
351: (x,y) = (-2.46529, -17.6871)
352: (x,y) = (-1.67728, -17.0715)
353: (x,y) = (-2.3066, -17.8486)
354: (x,y) = (-2.3066, -16.8486)
355: (x,y) = (-1.48744, -17.4222)
356: (x,y) = (-2.03208, -16.5835)
357: (x,y) = (-1.94493, -17.5797)
358: (x,y) = (-1.08776, -17.0647)
359: (x,y) = (-0.543121, -17.9033)
360: (x,y) = (-1.54251, -17.8684)
361: (x,y) = (-1.62967, -18.8646)
362: (x,y) = (-0.7725, -19.3797)
363: (x,y) = (-1.71219, -19.7217)
364: (x,y) = (-2.4193, -19.0146)
365: (x,y) = (-1.98093, -19.9134)
Po 365 krokach delikwent oi¹gn¹³ po³o¿enie:
(x,y) = (-1.98093, -19.9134)
 czyli
(m,a) = (20.0117, -95.6809)
Œrednia d³ugoœæ kroku pozornego = 0.0548265
